ID,Sex,Regions,Periods,PopulationOn1January_1,PopulationOn31December_20
66659,T001038,GM0629,2019JJ00,26211.0,26305.0
70319,T001038,GM0632,2019JJ00,52197.0,52299.0
72659,T001038,GM0637,2019JJ00,124944.0,125285.0
72719,T001038,GM0638,2019JJ00,8450.0,8605.0
73979,T001038,GM0642,2019JJ00,44639.0,44737.0
12359,T001038,GM0654,2019JJ00,22800.0,22739.0
22319,T001038,GM0664,2019JJ00,37653.0,38082.0
67619,T001038,GM0668,2019JJ00,19076.0,19324.0
31439,T001038,GM0677,2019JJ00,27524.0,27556.0
32579,T001038,GM0678,2019JJ00,12785.0,12695.0
40379,T001038,GM0687,2019JJ00,48544.0,48822.0
21958,T001038,GM0689,2018JJ00,14551.0,14540.0
51899,T001038,GM0703,2019JJ00,22678.0,22730.0
71758,T001038,GM0707,2018JJ00,14004.0,14020.0
60599,T001038,GM0715,2019JJ00,54589.0,54426.0
60899,T001038,GM0716,2019JJ00,25780.0,25757.0
63359,T001038,GM0717,2019JJ00,21835.0,21880.0
64499,T001038,GM0718,2019JJ00,44371.0,44360.0
36958,T001038,GM0733,2018JJ00,11134.0,11193.0
53879,T001038,GM0736,2019JJ00,44059.0,44456.0
61619,T001038,GM0737,2019JJ00,31780.0,32052.0
3598,T001038,GM0738,2018JJ00,13153.0,13321.0
6719,T001038,GM0743,2019JJ00,16710.0,16721.0
7079,T001038,GM0744,2019JJ00,6847.0,6859.0
9419,T001038,GM0748,2019JJ00,66811.0,67496.0
10259,T001038,GM0753,2019JJ00,29821.0,29988.0
11699,T001038,GM0755,2019JJ00,10588.0,10785.0
12599,T001038,GM0756,2019JJ00,29065.0,29365.0
12659,T001038,GM0757,2019JJ00,30747.0,30801.0
12839,T001038,GM0758,2019JJ00,183873.0,184069.0
15359,T001038,GM0762,2019JJ00,32362.0,32471.0
50699,T001038,GM0765,2019JJ00,12214.0,12196.0
16439,T001038,GM0766,2019JJ00,26051.0,26222.0
18419,T001038,GM0770,2019JJ00,19110.0,19313.0
18959,T001038,GM0772,2019JJ00,231642.0,234394.0
20099,T001038,GM0777,2019JJ00,43774.0,43878.0
20999,T001038,GM0779,2019JJ00,21515.0,21544.0
22139,T001038,GM0784,2019JJ00,26431.0,26431.0
22379,T001038,GM0785,2019JJ00,23793.0,23904.0
23279,T001038,GM0786,2019JJ00,12483.0,12436.0
24719,T001038,GM0788,2019JJ00,14195.0,14370.0
28079,T001038,GM0794,2019JJ00,91524.0,92423.0
28679,T001038,GM0796,2019JJ00,154205.0,155111.0
29039,T001038,GM0797,2019JJ00,44135.0,44692.0
29219,T001038,GM0798,2019JJ00,15334.0,15518.0
37619,T001038,GM0809,2019JJ00,23327.0,23408.0
41219,T001038,GM0815,2019JJ00,10891.0,10939.0
45779,T001038,GM0820,2019JJ00,23186.0,23383.0
46559,T001038,GM0823,2019JJ00,18623.0,18714.0
46619,T001038,GM0824,2019JJ00,26140.0,26245.0
47819,T001038,GM0826,2019JJ00,55616.0,55982.0
48719,T001038,GM0828,2019JJ00,91451.0,91915.0
54419,T001038,GM0840,2019JJ00,22572.0,22878.0
55676,T001038,GM0844,2016JJ00,23625.0,23722.0
57239,T001038,GM0845,2019JJ00,28991.0,29208.0
57296,T001038,GM0846,2016JJ00,17896.0,17892.0
